date,sales,onpromotion,dcoilwtico,transactions,dayofweek,is_weekend,is_holiday_overall
2013-01-01,0.0,0,93.14,0.0,1,0,1
2013-01-02,1091.0,0,93.14,2111.0,2,0,0
2013-01-03,919.0,0,92.97,1833.0,3,0,0
2013-01-04,953.0,0,93.12,1863.0,4,0,0
2013-01-05,1160.0,0,93.12,1509.0,5,1,1
2013-01-06,407.0,0,93.12,520.0,6,1,0
2013-01-07,1158.0,0,93.2,1807.0,0,0,0
2013-01-08,1029.0,0,93.21,1869.0,1,0,0
2013-01-09,1186.0,0,93.08,1910.0,2,0,0
2013-01-10,847.0,0,93.81,1679.0,3,0,0
2013-01-11,1033.0,0,93.6,1813.0,4,0,0
2013-01-12,1143.0,0,93.6,1473.0,5,1,1
2013-01-13,572.0,0,93.6,542.0,6,1,0
2013-01-14,1178.0,0,94.27,1780.0,0,0,0
2013-01-15,1149.0,0,93.26,1680.0,1,0,0
2013-01-16,1043.0,0,94.28,1933.0,2,0,0
2013-01-17,898.0,0,95.49,1786.0,3,0,0
2013-01-18,1130.0,0,95.61,1745.0,4,0,0
2013-01-19,1280.0,0,95.61,1389.0,5,1,0
2013-01-20,453.0,0,95.61,507.0,6,1,0
2013-01-21,1104.0,0,95.61,1770.0,0,0,0
2013-01-22,1037.0,0,96.09,1762.0,1,0,0
2013-01-23,1052.0,0,95.06,1873.0,2,0,0
2013-01-24,846.0,0,95.35,1616.0,3,0,0
2013-01-25,1103.0,0,95.15,1770.0,4,0,0
2013-01-26,965.0,0,95.15,1295.0,5,1,0
2013-01-27,417.0,0,95.15,542.0,6,1,0
2013-01-28,772.0,0,95.95,1738.0,0,0,0
2013-01-29,932.0,0,97.62,1772.0,1,0,0
2013-01-30,1031.0,0,97.98,1877.0,2,0,0
2013-01-31,889.0,0,97.65,1707.0,3,0,0
2013-02-01,941.0,0,97.46,1806.0,4,0,0
2013-02-02,1005.0,0,97.46,1377.0,5,1,0
2013-02-03,442.0,0,97.46,531.0,6,1,0
2013-02-04,775.0,0,96.21,1714.0,0,0,0
2013-02-05,794.0,0,96.68,1775.0,1,0,0
2013-02-06,923.0,0,96.44,1853.0,2,0,0
2013-02-07,794.0,0,95.84,1727.0,3,0,0
2013-02-08,949.0,0,95.71,1878.0,4,0,0
2013-02-09,783.0,0,95.71,1104.0,5,1,0
2013-02-10,185.0,0,95.71,374.0,6,1,0
2013-02-11,172.0,0,97.01,396.0,0,0,1
2013-02-12,280.0,0,97.48,487.0,1,0,1
2013-02-13,823.0,0,97.03,1921.0,2,0,0
2013-02-14,728.0,0,97.3,2119.0,3,0,0
2013-02-15,905.0,0,95.95,1787.0,4,0,0
2013-02-16,989.0,0,95.95,1263.0,5,1,0
2013-02-17,299.0,0,95.95,399.0,6,1,0
2013-02-18,933.0,0,95.95,1742.0,0,0,0
2013-02-19,852.0,0,96.69,1806.0,1,0,0
2013-02-20,882.0,0,94.92,1835.0,2,0,0
2013-02-21,910.0,0,92.79,1756.0,3,0,0
2013-02-22,959.0,0,93.12,1805.0,4,0,0
2013-02-23,1000.0,0,93.12,1448.0,5,1,0
2013-02-24,439.0,0,93.12,512.0,6,1,0
2013-02-25,851.0,0,92.74,1760.0,0,0,0
2013-02-26,787.0,0,92.63,1804.0,1,0,0
2013-02-27,962.0,0,92.84,1845.0,2,0,0
2013-02-28,960.0,0,92.03,1763.0,3,0,0
2013-03-01,911.0,0,90.71,1916.0,4,0,0
2013-03-02,1221.0,0,90.71,1332.0,5,1,0
2013-03-03,372.0,0,90.71,547.0,6,1,0
2013-03-04,1037.0,0,90.13,1841.0,0,0,0
2013-03-05,780.0,0,90.88,1750.0,1,0,0
2013-03-06,1069.0,0,90.47,1929.0,2,0,0
2013-03-07,1094.0,0,91.53,1751.0,3,0,0
2013-03-08,1186.0,0,92.01,1960.0,4,0,0
2013-03-09,1089.0,0,92.01,1337.0,5,1,0
2013-03-10,548.0,0,92.01,538.0,6,1,0
2013-03-11,1072.0,0,92.07,1874.0,0,0,0
2013-03-12,833.0,0,92.44,1734.0,1,0,0
2013-03-13,1078.0,0,92.47,1841.0,2,0,0
2013-03-14,753.0,0,93.03,1751.0,3,0,0
2013-03-15,967.0,0,93.49,1812.0,4,0,0
2013-03-16,1092.0,0,93.49,1238.0,5,1,0
2013-03-17,466.0,0,93.49,561.0,6,1,0
2013-03-18,772.0,0,93.71,1696.0,0,0,0
2013-03-19,836.0,0,92.44,1728.0,1,0,0
2013-03-20,1059.0,0,93.21,1879.0,2,0,0
2013-03-21,756.0,0,92.46,1727.0,3,0,0
2013-03-22,842.0,0,93.41,1689.0,4,0,0
2013-03-23,985.0,0,93.41,1358.0,5,1,0
2013-03-24,390.0,0,93.41,531.0,6,1,0
2013-03-25,856.0,0,94.55,1770.0,0,0,0
2013-03-26,788.0,0,95.99,1700.0,1,0,0
2013-03-27,1198.0,0,96.53,1840.0,2,0,0
2013-03-28,1043.0,0,97.24,1729.0,3,0,0
2013-03-29,280.0,0,97.24,474.0,4,0,0
2013-03-30,787.0,0,97.24,1002.0,5,1,0
2013-03-31,400.0,0,97.24,464.0,6,1,0
2013-04-01,931.0,0,97.1,1894.0,0,0,0
2013-04-02,1083.0,0,97.23,1705.0,1,0,0
2013-04-03,1082.0,0,95.02,1912.0,2,0,0
2013-04-04,809.0,0,93.26,1723.0,3,0,0
2013-04-05,1025.0,0,92.76,1899.0,4,0,0
2013-04-06,1053.0,0,92.76,1349.0,5,1,0
2013-04-07,431.0,0,92.76,521.0,6,1,0
2013-04-08,896.0,0,93.36,1824.0,0,0,0
2013-04-09,826.0,0,94.18,1744.0,1,0,0
2013-04-10,1165.0,0,94.59,1916.0,2,0,0
2013-04-11,867.0,0,93.44,1638.0,3,0,0
2013-04-12,1122.0,0,91.23,1860.0,4,0,0
2013-04-13,1030.0,0,91.23,1338.0,5,1,0
2013-04-14,398.0,0,91.23,525.0,6,1,0
2013-04-15,842.0,0,88.75,1804.0,0,0,0
2013-04-16,919.0,0,88.73,1757.0,1,0,0
2013-04-17,951.0,0,86.65,1807.0,2,0,0
2013-04-18,785.0,0,87.83,1607.0,3,0,0
2013-04-19,862.0,0,88.04,1737.0,4,0,0
2013-04-20,1192.0,0,88.04,1335.0,5,1,0
2013-04-21,427.0,0,88.04,505.0,6,1,0
2013-04-22,853.0,0,88.81,1838.0,0,0,0
2013-04-23,832.0,0,89.21,1697.0,1,0,0
2013-04-24,1009.0,0,91.07,1921.0,2,0,0
2013-04-25,898.0,0,93.27,1660.0,3,0,0
2013-04-26,952.0,0,92.63,1843.0,4,0,0
2013-04-27,1012.0,0,92.63,1314.0,5,1,0
2013-04-28,447.0,0,92.63,517.0,6,1,0
2013-04-29,722.0,0,94.09,1653.0,0,0,1
2013-04-30,1106.0,0,93.22,1897.0,1,0,0
2013-05-01,418.0,0,90.74,613.0,2,0,1
2013-05-02,995.0,0,93.7,1763.0,3,0,0
2013-05-03,1207.0,0,95.25,1847.0,4,0,0
2013-05-04,1091.0,0,95.25,1347.0,5,1,0
2013-05-05,528.0,0,95.25,538.0,6,1,0
2013-05-06,1055.0,0,95.8,1834.0,0,0,0
2013-05-07,988.0,0,95.28,1792.0,1,0,0
2013-05-08,987.0,0,96.24,1904.0,2,0,0
2013-05-09,812.0,0,96.09,1813.0,3,0,0
2013-05-10,952.0,0,95.81,1959.0,4,0,0
2013-05-11,1114.0,0,95.81,1488.0,5,1,1
2013-05-12,384.0,0,95.81,549.0,6,1,1
2013-05-13,992.0,0,94.76,1784.0,0,0,0
2013-05-14,1024.0,0,93.96,1747.0,1,0,0
2013-05-15,928.0,0,93.95,1887.0,2,0,0
2013-05-16,1040.0,0,94.85,1781.0,3,0,0
2013-05-17,939.0,0,95.72,1883.0,4,0,0
2013-05-18,971.0,0,95.72,1299.0,5,1,0
2013-05-19,354.0,0,95.72,497.0,6,1,0
2013-05-20,819.0,0,96.29,1732.0,0,0,0
2013-05-21,719.0,0,95.55,1692.0,1,0,0
2013-05-22,871.0,0,93.98,1865.0,2,0,0
2013-05-23,974.0,0,94.12,1753.0,3,0,0
2013-05-24,325.0,0,93.84,496.0,4,0,1
2013-05-25,827.0,0,93.84,1107.0,5,1,0
2013-05-26,310.0,0,93.84,411.0,6,1,0
2013-05-27,805.0,0,93.84,1748.0,0,0,0
2013-05-28,739.0,0,94.65,1787.0,1,0,0
2013-05-29,1021.0,0,93.13,1815.0,2,0,0
2013-05-30,811.0,0,93.57,1737.0,3,0,0
2013-05-31,913.0,0,91.93,1818.0,4,0,0
2013-06-01,1114.0,0,91.93,1357.0,5,1,0
2013-06-02,335.0,0,91.93,430.0,6,1,0
2013-06-03,1049.0,0,93.41,1882.0,0,0,0
2013-06-04,1006.0,0,93.36,1785.0,1,0,0
2013-06-05,1143.0,0,93.66,1845.0,2,0,0
2013-06-06,957.0,0,94.71,1815.0,3,0,0
2013-06-07,968.0,0,96.11,1885.0,4,0,0
2013-06-08,1105.0,0,96.11,1279.0,5,1,0
2013-06-09,430.0,0,96.11,510.0,6,1,0
2013-06-10,961.0,0,95.82,1826.0,0,0,0
2013-06-11,887.0,0,95.5,1855.0,1,0,0
2013-06-12,1064.0,0,95.98,1863.0,2,0,0
2013-06-13,996.0,0,96.66,1711.0,3,0,0
2013-06-14,959.0,0,97.83,1856.0,4,0,0
2013-06-15,1040.0,0,97.83,1356.0,5,1,0
2013-06-16,386.0,0,97.83,541.0,6,1,0
2013-06-17,1239.0,0,97.86,1786.0,0,0,0
2013-06-18,868.0,0,98.46,1775.0,1,0,0
2013-06-19,1070.0,0,98.24,1783.0,2,0,0
2013-06-20,801.0,0,94.89,1629.0,3,0,0
2013-06-21,901.0,0,93.81,1700.0,4,0,0
2013-06-22,1020.0,0,93.81,1295.0,5,1,0
2013-06-23,432.0,0,93.81,493.0,6,1,0
2013-06-24,888.0,0,95.07,1820.0,0,0,0
2013-06-25,1061.0,0,95.25,1718.0,1,0,0
2013-06-26,874.0,0,95.47,1856.0,2,0,0
2013-06-27,856.0,0,97.0,1671.0,3,0,0
2013-06-28,1027.0,0,96.36,1808.0,4,0,0
2013-06-29,1044.0,0,96.36,1264.0,5,1,0
2013-06-30,325.0,0,96.36,482.0,6,1,0
2013-07-01,839.0,0,97.94,1797.0,0,0,0
2013-07-02,941.0,0,99.65,1778.0,1,0,0
2013-07-03,915.0,0,101.92,1899.0,2,0,0
2013-07-04,787.0,0,101.92,1792.0,3,0,0
2013-07-05,895.0,0,103.09,1804.0,4,0,0
2013-07-06,965.0,0,103.09,1186.0,5,1,0
2013-07-07,377.0,0,103.09,485.0,6,1,0
2013-07-08,1012.0,0,103.03,1826.0,0,0,0
2013-07-09,809.0,0,103.46,1804.0,1,0,0
2013-07-10,819.0,0,106.41,1761.0,2,0,0
2013-07-11,821.0,0,104.77,1668.0,3,0,0
2013-07-12,752.0,0,105.85,1749.0,4,0,0
2013-07-13,890.0,0,105.85,1219.0,5,1,0
2013-07-14,259.0,0,105.85,434.0,6,1,0
2013-07-15,819.0,0,106.2,1781.0,0,0,0
2013-07-16,831.0,0,105.88,1904.0,1,0,0
2013-07-17,929.0,0,106.39,1846.0,2,0,0
2013-07-18,697.0,0,107.94,1700.0,3,0,0
2013-07-19,1152.0,0,108.0,1752.0,4,0,0
2013-07-20,974.0,0,108.0,1336.0,5,1,0
2013-07-21,279.0,0,108.0,448.0,6,1,0
2013-07-22,899.0,0,106.61,1753.0,0,0,0
2013-07-23,907.0,0,107.13,1794.0,1,0,0
2013-07-24,1066.0,0,105.41,1796.0,2,0,0
2013-07-25,911.0,0,105.47,1697.0,3,0,0
2013-07-26,1005.0,0,104.76,1808.0,4,0,0
2013-07-27,946.0,0,104.76,1247.0,5,1,0
2013-07-28,295.0,0,104.76,439.0,6,1,0
2013-07-29,1044.0,0,104.61,1802.0,0,0,0
2013-07-30,787.0,0,103.14,1741.0,1,0,0
2013-07-31,989.0,0,105.1,1828.0,2,0,0
2013-08-01,876.0,0,107.93,1767.0,3,0,0
2013-08-02,908.0,0,106.94,1748.0,4,0,0
2013-08-03,879.0,0,106.94,1290.0,5,1,0
2013-08-04,306.0,0,106.94,453.0,6,1,0
2013-08-05,845.0,0,106.61,1763.0,0,0,0
2013-08-06,886.0,0,105.32,1717.0,1,0,0
2013-08-07,866.0,0,104.41,1800.0,2,0,0
2013-08-08,859.0,0,103.45,1650.0,3,0,0
2013-08-09,924.0,0,106.04,1785.0,4,0,0
2013-08-10,565.0,0,106.04,832.0,5,1,1
2013-08-11,412.0,0,106.04,441.0,6,1,0
2013-08-12,860.0,0,106.19,1728.0,0,0,0
2013-08-13,706.0,0,106.78,1685.0,1,0,0
2013-08-14,821.0,0,106.89,1836.0,2,0,0
2013-08-15,737.0,0,107.43,1656.0,3,0,0
2013-08-16,1053.0,0,107.58,1817.0,4,0,0
2013-08-17,828.0,0,107.58,1203.0,5,1,0
2013-08-18,346.0,0,107.58,427.0,6,1,0
2013-08-19,824.0,0,107.14,1714.0,0,0,0
2013-08-20,721.0,0,104.9,1670.0,1,0,0
2013-08-21,827.0,0,103.93,1826.0,2,0,0
2013-08-22,744.0,0,104.93,1599.0,3,0,0
2013-08-23,885.0,0,106.48,1777.0,4,0,0
2013-08-24,757.0,0,106.48,1166.0,5,1,0
2013-08-25,316.0,0,106.48,457.0,6,1,0
2013-08-26,823.0,0,105.88,1722.0,0,0,0
2013-08-27,718.0,0,109.11,1677.0,1,0,0
2013-08-28,876.0,0,110.17,1831.0,2,0,0
2013-08-29,789.0,0,108.51,1647.0,3,0,0
2013-08-30,990.0,0,107.98,1808.0,4,0,0
2013-08-31,936.0,0,107.98,1297.0,5,1,0
2013-09-01,402.0,0,107.98,512.0,6,1,0
2013-09-02,852.0,0,107.98,1774.0,0,0,0
2013-09-03,1061.0,0,108.67,1762.0,1,0,0
2013-09-04,946.0,0,107.29,1867.0,2,0,0
2013-09-05,857.0,0,108.5,1719.0,3,0,0
2013-09-06,968.0,0,110.62,1839.0,4,0,0
2013-09-07,1088.0,0,110.62,1245.0,5,1,0
2013-09-08,343.0,0,110.62,456.0,6,1,0
2013-09-09,799.0,0,109.62,1781.0,0,0,0
2013-09-10,818.0,0,107.48,1678.0,1,0,0
2013-09-11,962.0,0,107.65,1828.0,2,0,0
2013-09-12,934.0,0,108.72,1776.0,3,0,0
2013-09-13,784.0,0,108.31,1759.0,4,0,0
2013-09-14,1180.0,0,108.31,1259.0,5,1,0
2013-09-15,447.0,0,108.31,500.0,6,1,0
2013-09-16,971.0,0,106.54,1778.0,0,0,0
2013-09-17,764.0,0,105.36,1716.0,1,0,0
2013-09-18,827.0,0,108.23,1882.0,2,0,0
2013-09-19,848.0,0,106.26,1685.0,3,0,0
2013-09-20,913.0,0,104.7,1701.0,4,0,0
2013-09-21,1034.0,0,104.7,1304.0,5,1,0
2013-09-22,469.0,0,104.7,479.0,6,1,0
2013-09-23,968.0,0,103.62,1707.0,0,0,0
2013-09-24,896.0,0,103.22,1780.0,1,0,0
2013-09-25,1058.0,0,102.68,1829.0,2,0,0
2013-09-26,1104.0,0,103.1,1681.0,3,0,0
2013-09-27,1025.0,0,102.86,1772.0,4,0,0
2013-09-28,1048.0,0,102.86,1286.0,5,1,0
2013-09-29,470.0,0,102.86,503.0,6,1,0
2013-09-30,1001.0,0,102.36,1682.0,0,0,0
2013-10-01,947.0,0,102.09,1744.0,1,0,0
2013-10-02,1285.0,0,104.15,1917.0,2,0,0
2013-10-03,842.0,0,103.29,1720.0,3,0,0
2013-10-04,1162.0,0,103.83,1839.0,4,0,0
2013-10-05,1068.0,0,103.83,1324.0,5,1,0
2013-10-06,393.0,0,103.83,504.0,6,1,0
2013-10-07,956.0,0,103.07,1759.0,0,0,0
2013-10-08,971.0,0,103.54,1721.0,1,0,0
2013-10-09,913.0,0,101.63,1788.0,2,0,0
2013-10-10,984.0,0,103.08,1692.0,3,0,0
2013-10-11,539.0,0,102.17,733.0,4,0,1
2013-10-12,752.0,0,102.17,949.0,5,1,0
2013-10-13,472.0,0,102.17,464.0,6,1,0
2013-10-14,926.0,0,102.46,1654.0,0,0,0
2013-10-15,725.0,0,101.15,1761.0,1,0,0
2013-10-16,884.0,0,102.34,1703.0,2,0,0
2013-10-17,897.0,0,100.72,1783.0,3,0,0
2013-10-18,932.0,0,100.87,1734.0,4,0,0
2013-10-19,981.0,0,100.87,1346.0,5,1,0
2013-10-20,455.0,0,100.87,500.0,6,1,0
2013-10-21,1030.0,0,99.28,1830.0,0,0,0
2013-10-22,801.0,0,97.63,1687.0,1,0,0
2013-10-23,835.0,0,96.9,1820.0,2,0,0
2013-10-24,816.0,0,96.65,1748.0,3,0,0
2013-10-25,900.0,0,97.4,1805.0,4,0,0
2013-10-26,967.0,0,97.4,1282.0,5,1,0
2013-10-27,424.0,0,97.4,549.0,6,1,0
2013-10-28,902.0,0,98.74,1788.0,0,0,0
2013-10-29,890.0,0,98.29,1710.0,1,0,0
2013-10-30,830.0,0,96.81,1815.0,2,0,0
2013-10-31,764.0,0,96.29,1755.0,3,0,0
2013-11-01,990.0,0,94.56,1878.0,4,0,0
2013-11-02,1030.0,0,94.56,1106.0,5,1,1
2013-11-03,441.0,0,94.56,515.0,6,1,1
2013-11-04,1002.0,0,94.58,1838.0,0,0,0
2013-11-05,853.0,0,93.4,1848.0,1,0,0
2013-11-06,1009.0,0,94.74,1797.0,2,0,0
2013-11-07,901.0,0,94.25,1724.0,3,0,0
2013-11-08,1088.0,0,94.56,1859.0,4,0,0
2013-11-09,940.0,0,94.56,1184.0,5,1,0
2013-11-10,430.0,0,94.56,561.0,6,1,0
2013-11-11,835.0,0,95.13,1862.0,0,0,0
2013-11-12,819.0,0,93.12,1814.0,1,0,0
2013-11-13,1148.0,0,93.91,1924.0,2,0,0
2013-11-14,922.0,0,93.76,1832.0,3,0,0
2013-11-15,899.0,0,93.8,1850.0,4,0,0
2013-11-16,971.0,0,93.8,1346.0,5,1,0
2013-11-17,363.0,0,93.8,512.0,6,1,0
2013-11-18,901.0,0,93.03,1881.0,0,0,0
2013-11-19,1019.0,0,93.35,1784.0,1,0,0
2013-11-20,1027.0,0,93.34,1947.0,2,0,0
2013-11-21,791.0,0,95.35,1753.0,3,0,0
2013-11-22,834.0,0,94.53,1799.0,4,0,0
2013-11-23,887.0,0,94.53,1229.0,5,1,0
2013-11-24,386.0,0,94.53,453.0,6,1,0
2013-11-25,939.0,0,93.86,1861.0,0,0,0
2013-11-26,860.0,0,93.41,1834.0,1,0,0
2013-11-27,1049.0,0,92.05,1911.0,2,0,0
2013-11-28,783.0,0,92.05,1828.0,3,0,0
2013-11-29,924.0,0,92.55,1781.0,4,0,0
2013-11-30,987.0,0,92.55,1272.0,5,1,0
2013-12-01,431.0,0,92.55,485.0,6,1,0
2013-12-02,991.0,0,93.61,1844.0,0,0,0
2013-12-03,982.0,0,95.83,1812.0,1,0,0
2013-12-04,1141.0,0,96.97,1995.0,2,0,0
2013-12-05,1008.0,0,97.14,1930.0,3,0,1
2013-12-06,332.0,0,97.48,506.0,4,0,1
2013-12-07,864.0,0,97.48,1140.0,5,1,0
2013-12-08,322.0,0,97.48,443.0,6,1,0
2013-12-09,971.0,0,97.1,1812.0,0,0,0
2013-12-10,1030.0,0,98.32,1992.0,1,0,0
2013-12-11,1085.0,0,97.25,2087.0,2,0,0
2013-12-12,1190.0,0,97.21,1945.0,3,0,0
2013-12-13,1143.0,0,96.27,2033.0,4,0,0
2013-12-14,1245.0,0,96.27,1507.0,5,1,0
2013-12-15,462.0,0,96.27,526.0,6,1,0
2013-12-16,1147.0,0,97.18,2161.0,0,0,0
2013-12-17,921.0,0,96.99,2136.0,1,0,0
2013-12-18,1122.0,0,97.59,2337.0,2,0,0
2013-12-19,1192.0,0,98.4,2425.0,3,0,0
2013-12-20,1169.0,0,99.11,2490.0,4,0,0
2013-12-21,1265.0,0,99.11,1738.0,5,1,1
2013-12-22,796.0,0,99.11,1093.0,6,1,1
2013-12-23,1464.0,0,98.62,2848.0,0,0,1
2013-12-24,1248.0,0,98.87,2844.0,1,0,1
2013-12-26,1009.0,0,99.18,1980.0,3,0,1
2013-12-27,1025.0,0,99.94,2022.0,4,0,0
2013-12-28,803.0,0,99.94,1070.0,5,1,0
2013-12-29,242.0,0,99.94,416.0,6,1,0
2013-12-30,1001.0,0,98.9,1388.0,0,0,0
2013-12-31,840.0,0,98.17,1105.0,1,0,1
2014-01-01,0.0,0,98.17,0.0,2,0,1
2014-01-02,2524.0,0,95.14,1875.0,3,0,0
2014-01-03,2192.0,0,93.66,1817.0,4,0,0
2014-01-04,2282.0,0,93.66,1294.0,5,1,0
2014-01-05,989.0,0,93.66,489.0,6,1,0
2014-01-06,2417.0,0,93.12,1754.0,0,0,0
2014-01-07,1963.0,0,93.31,1713.0,1,0,0
2014-01-08,2285.0,0,91.9,1955.0,2,0,0
2014-01-09,1982.0,0,91.36,1855.0,3,0,0
2014-01-10,2059.0,0,92.39,1837.0,4,0,0
2014-01-11,2152.0,0,92.39,1300.0,5,1,0
2014-01-12,998.0,0,92.39,531.0,6,1,0
2014-01-13,2275.0,0,91.45,1887.0,0,0,0
2014-01-14,1911.0,0,92.15,1738.0,1,0,0
2014-01-15,2503.0,0,93.78,1944.0,2,0,0
2014-01-16,1747.0,0,93.54,1819.0,3,0,0
2014-01-17,2085.0,0,93.96,1889.0,4,0,0
2014-01-18,2183.0,0,93.96,1329.0,5,1,0
2014-01-19,1039.0,0,93.96,504.0,6,1,0
2014-01-20,1834.0,0,93.96,1791.0,0,0,0
2014-01-21,2243.0,0,94.51,1872.0,1,0,0
2014-01-22,2168.0,0,96.35,1818.0,2,0,0
2014-01-23,1781.0,0,97.23,1744.0,3,0,0
2014-01-24,2246.0,0,96.66,1858.0,4,0,0
2014-01-25,1840.0,0,96.66,1234.0,5,1,0
2014-01-26,857.0,0,96.66,537.0,6,1,0
2014-01-27,2003.0,0,95.82,1765.0,0,0,0
2014-01-28,1852.0,0,97.49,1746.0,1,0,0
2014-01-29,1964.0,0,97.34,1903.0,2,0,0
2014-01-30,1788.0,0,98.25,1747.0,3,0,0
2014-01-31,2000.0,0,97.55,1872.0,4,0,0
2014-02-01,1216.0,0,97.55,1344.0,5,1,0
2014-02-02,401.0,0,97.55,502.0,6,1,0
2014-02-03,793.0,0,96.44,1898.0,0,0,0
2014-02-04,823.0,0,97.24,1781.0,1,0,0
2014-02-05,961.0,0,97.4,1909.0,2,0,0
2014-02-06,870.0,0,97.84,1749.0,3,0,0
2014-02-07,977.0,0,99.98,1812.0,4,0,0
2014-02-08,994.0,0,99.98,1335.0,5,1,0
2014-02-09,389.0,0,99.98,484.0,6,1,0
2014-02-10,815.0,0,100.12,1763.0,0,0,0
2014-02-11,1028.0,0,99.96,1768.0,1,0,0
2014-02-12,1078.0,0,100.38,1910.0,2,0,0
2014-02-13,1127.0,0,100.27,1910.0,3,0,0
2014-02-14,1160.0,0,100.31,2130.0,4,0,0
2014-02-15,1171.0,0,100.31,1333.0,5,1,0
2014-02-16,415.0,0,100.31,482.0,6,1,0
2014-02-17,919.0,0,100.31,1807.0,0,0,0
2014-02-18,972.0,0,102.54,1742.0,1,0,0
2014-02-19,1113.0,0,103.46,1918.0,2,0,0
2014-02-20,864.0,0,103.2,1738.0,3,0,0
2014-02-21,827.0,0,102.53,1701.0,4,0,0
2014-02-22,1070.0,0,102.53,1238.0,5,1,0
2014-02-23,444.0,0,102.53,463.0,6,1,0
2014-02-24,1092.0,0,103.17,1814.0,0,0,0
2014-02-25,998.0,0,102.2,1849.0,1,0,0
2014-02-26,892.0,0,102.93,1863.0,2,0,0
2014-02-27,763.0,0,102.68,1696.0,3,0,0
2014-02-28,977.0,0,102.88,1880.0,4,0,0
2014-03-01,1686.0,0,102.88,1111.0,5,1,0
